"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","470u/6.3V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"2","J1","1","Screw_Terminal_01x06","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical",""
"3","J2","1","Screw_Terminal_01x02","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",""
"4","J3","1","IDC26","Connector_IDC:IDC-Header_2x13_P2.54mm_Vertical",""
"5","R1","1","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"6","R2","1","2k4","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"7","RN1, RN5","2","9 x 10k","Resistor_THT:R_Array_SIP10",""
"8","RN2, RN3","2","9 x 4k7","Resistor_THT:R_Array_SIP10",""
"9","U1, U2","2","PCF8574","Package_SO:SOP-16_3.9x9.9mm_P1.27mm",""
"10","U3, U4, U5","3","7407","Package_DIP:CERDIP-14_W7.62mm_SideBrazed",""
